Food Category,Ingredients,Instructions,Calories,Fat,Saturated Fat,Carbohydrates,Net Carbohydrates,Sugar,Cholesterol,Sodium,Alcohol,Alcohol %,Protein,Calcium,Phosphorus,Vitamin B2,Vitamin B12,Manganese,Vitamin D,Selenium,Vitamin B1,Potassium,Vitamin B5,Magnesium,Vitamin A,Zinc,Vitamin B6,Copper,Folate,Fiber,Iron,Vitamin E,Vitamin B3,Vitamin K,Caffeine,Vitamin C
caprese salad,"chicken breasts, garlic powder, salt, pepper, olive oil, angel hair pasta, mozzarella, basil leaves, pasta sauce","<ol><li>Preheat oven to 450 degrees.</li><li>Rinse and pat dry each piece of chicken, making sure it is well-dried. Trim off all the fat or loose pieces of meat.</li><li>Sprinkle salt, pepper and garlic powder onto both sides of each chicken breast.</li><li>Add olive oil to saute pan on medium high heat, then add your chicken (cook in batches if needed).</li><li>Cook each breast for 3-4 minutes a side, until it has a golden sear on both sides.</li><li>Place the chicken in a 9x13 baking dish, and bake on the middle oven rack for 15 minutes at 450 degrees.</li><li>Cook pasta while the chicken is in the oven baking.</li><li>Remove baking dish and reduce oven to 350 degrees. Quickly spoon pasta sauce onto each piece, top with 2-3 pieces of fresh basil and one slice of fresh mozzarella. Return the chicken to the oven for 5 more minutes - or until the cheese has melted, Ensure chicken reaches a minimum internal temperature of 165 degrees.</li><li>Serve over pasta and garnish with remaining basil.</li><li>Recipe Notes: You can also garnish with fresh chopped tomatoes if desired.</li></ol>",648.85,24.57,9.62,60.29,50.13,8.18,117.11,1856.52,0.0,0.0,49.57,666.39,635.97,0.6,1.52,2.27,0.34,83.0,0.2,1489.44,2.58,203.53,1237.35,4.58,1.33,0.72,80.53,10.15,16.61,5.36,15.16,268.36,,12.9
carrot cake,"carrots, cinnamon, coconut, ground ginger, medjool dates, sunflower seeds, walnuts","<ol><li>In a food processor, blend all the snack bite ingredients together.</li><li>Scoop out tablespoons full of the batter and roll it into a ball.</li><li>Roll the balls in sesame seeds, coconut, or chopped almonds for additional crunch, if desired.</li><li>Store refrigerated.</li></ol>",69.7,4.57,1.13,7.11,5.54,4.68,0.0,10.9,0.0,0.0,1.47,15.46,43.82,0.03,,0.27,,2.22,0.07,129.3,0.15,21.19,2416.53,0.35,0.1,0.15,14.74,1.57,0.43,1.3,0.56,2.17,,1.03
ceviche,"very fish, tomatoes, cilantro, an onion, juice of lemon, serrano chiles, olive oil, salt, tortilla chips to serve as accompaniment","First you need to cut the fish into small pieces, like a centimeter dice. Put it all in the bottom of a large bowl. Next squeeze the juice from the limes (or lemon). Pour the juice over the fish and stir well.  The juice should cover the fish, if it doesn't, then add more.
Next add the tomato, onion, cilantro, serrano chiles, olive oil, and some salt to the bowl. Stir well. Your ceviche is now prepared, it just needs time to marinate. I recommend making it a day ahead of time, because I like the flavor of the end result better. If you must make and serve it on the same day, just be sure it is  refrigerated at least 4 hours before serving.
To serve the ceviche, place it in a serving bowl with tostadas or tortilla chips on the side. You can spoon the ceviche on the tostadas, or dip the chips if you prefer. If you want, wedges of avocado make a nice garnish. Your ceviche will be chilled, fresh, and delicious. You can enjoy it with a glass of white wine, but my personal faves would be a Cadillac margarita, or an icy cold beer. Buen Provecho!",374.28,15.66,2.68,27.79,24.43,4.44,75.6,372.13,0.0,0.0,33.72,64.72,358.0,0.15,2.39,0.22,4.69,64.51,0.16,865.31,1.24,82.37,1118.62,1.15,0.43,0.23,64.07,3.36,1.73,3.39,6.98,24.58,,30.72
cheese plate,"heirloom tomatoes, fugi apple, pine nuts, cheese crumbles, olive oil, balsamic vinegar, kosher salt, ground pepper, parsley leaves","Lay the sliced tomatoes on a large serving plate. Toast the pine nuts in a small skillet over medium high heat until golden brown, about three minutes. Sprinkle pine nuts on top of the tomato slices along with the hunks of apple and blue cheese crumbles.  In a bowl, whisk together the oil and balsamic vinegar until well combined. Drizzle the oil/vinegar over the tomato slices (you may have some leftover oil and vinegar, which you can use for salad dressing later). Sprinkle salt and ground black pepper over the sliced tomatoes to taste and garnish with fresh or dried parsley.",224.8,18.81,2.88,12.66,10.29,9.11,5.32,283.3,0.0,0.0,3.09,54.07,81.11,0.07,0.09,0.52,,1.06,0.06,323.88,0.25,26.25,859.51,0.65,0.11,0.13,19.4,2.37,0.67,4.91,0.84,14.9,,14.93
cheesecake,"cream cheese, whipping cream, vanilla extract, eggs, cream of tartar, sugar, oreo","Separate Oreos, leaving 12 pcs without cream intact and round. Put the rest of the biscuits together with the filling into a food processor and pulse in fine.
Remember to preheat your oven (150C) and boil water after this.
Line big muffin tin (100ml capacity each) with 12 paper cups. Place 1 heaped teaspoon of oreo crumbs onto paper cups and  lightly press the crumbs to flatten with a mini roller pin. (see pictures)
Cream cream cheese  and 30g sugar on low speed until smooth, put in whipping cream, vanilla extract and egg yolks and continue to beat on low speed for another minute until well combined. Transfer cream mixtures to a large bowl and set aside.
Whisk egg whites until frothy, add in cream of tartar continue to beat until soft peaks. Add in 30g sugar and beat till stiff (as long as egg whites don't fall when overturned, it will be fine, no need to be pointy stiff).
Fold in egg whites to cream cheese mixtures with a rubber spatula.
Spoon cream cheese mixtures into prepared paper cups. Top with an oreo biscuit.
Bake for 20 minutes in a water bath.
Leave to cool in oven, door ajar. Cool completely before chilling.
Best chilled for 3 hours or more before serving.",205.55,14.99,8.09,14.77,14.44,10.87,78.57,129.78,0.12,0.25,3.7,37.48,63.28,0.15,0.17,0.08,0.43,6.37,0.03,96.56,0.36,9.56,526.77,0.37,0.04,0.05,14.82,0.33,1.63,0.7,0.33,4.0,,
chicken curry,"coconut milk, fish sauce, basil leaves, lime leaves, mango, palm sugar, pineapple, curry paste, chicken breast, water","<ol><li>Heat half a can of coconut milk in a wok or heavy-bottomed skillet over medium-high heat until foaming.</li><li>Add curry paste and stir to combine. Add fish sauce, sugar, and lime leaves* and let cook for one minute. Add remaining coconut milk and water.</li><li>Add chicken, pineapple, and mango to the curry and let cook for 2-3 minutes. Reduce heat to simmer and continue to cook for five minutes or until chicken is cooked through.</li><li>Remove from heat. Remove wild lime leaves* and stir in the sliced basil. Serve with jasmine rice.</li></ol>",433.14,27.36,21.86,22.72,18.82,18.24,72.57,856.39,0.0,0.0,27.64,53.89,349.77,0.15,0.27,1.39,,43.65,0.15,848.24,2.01,93.92,1905.71,1.46,1.03,0.42,56.07,3.9,2.6,0.85,13.36,11.09,,43.73
chicken quesadilla,"bell pepper, butter, black beans, cheese, chili powder, corn, cream cheese, cumin, garlic, onions, salt, chicken, tortillas","<ol><li>Toss butter, onions and garlic in a pan and saute for a couple minutes! Add chicken, beans, corn, pepper, salt, cumin and chili powder.</li><li>Let it warm through all the way and then add the cream cheese in spoonfuls so that it can get all melty. Add in 1 cup of cheese and stir until the mixture gets creamy and cheesy!</li><li>Add about ¼ cup of filling to a tortilla and if you are feeling cheesy, add a little extra cheese. We like it cheesy around here!</li><li>Fry on each side for a couple of minutes until the tortilla is crispy!</li></ol>",516.15,27.71,14.63,41.05,31.57,4.23,90.77,1540.28,0.0,0.0,27.02,322.25,429.24,0.49,0.47,0.5,0.17,27.44,0.37,606.86,1.09,70.79,1390.98,2.66,0.35,0.29,116.66,9.48,4.02,0.93,5.32,4.91,,23.95
chicken wings,"chicken wings, pasilla chile powder, kosher salt, ground pepper, ground cayenne pepper, jamaican ground allspice, pickapeppa sauce, butter, honey, tabasco sauce, pepper flakes, carrot and celery sticks, cheese dressing","Split wings apart into 2 sections and slash a slit in the flat part of the wing for quicker cooking.
Combine chile powder, salt, black pepper, cayenne, and allspice in a bowl and sprinkle liberally over the wings (you don't need to use all of it).  Refrigerate for at least 1 hour.
Combine Pickapeppa sauce, butter, honey, Tabasco, and pepper flakes in a medium saucepan over low heat until it is well incorporated.
Let wings come to room temperature.
Prepare grill for medium high direct heat. Grill dry rubbed wings for 20-25 mins, constantly turning the wings with tongs to maintain good grill marks without over-charing the wings. Take the biggest wing after 20 mins and take a bite out of it, and if the juices run clear, they are done. Place wings in a large bowl and toss with the jerk sauce.
Serve with blue cheese dressing and carrots.",721.06,50.88,15.19,10.49,7.93,5.39,231.08,3072.27,0.0,0.0,54.06,59.12,406.18,0.47,0.93,0.3,0.35,45.31,0.16,642.76,2.33,65.32,3307.57,4.02,1.31,0.17,23.73,2.56,3.74,1.58,17.74,3.01,,3.71
chocolate cake,"avocados, carob powder, chocolate chips, coconut, coconut oil, dates, maple syrup, peanut butter, pecans, coconut, tsp vanilla extract","<ol><li>CRUST: Soak nuts if desired, for 1 hour or longer.</li><li>Mix nuts and dates into a blender or food processor and pulse until chopped.</li><li>Press into pan, and place into the fridge while you prepare the filling.</li><li>FILLING</li><li>Combine the carob powder, avocados, maple syrup, and coconut oil into a food processor or blender until completely smooth.</li><li>Pour onto cake crust, and place back into the fridge overnight (or a minimum of a few hours).</li><li>TOPPING: Sprinkle toasted coconut evenly over cake.</li><li>COOKIES: Preheat oven to 300 F</li><li>Combine the rest of the coconut, vanilla, and almond or peanut butter in bowl, and mix.</li><li>Roll into small balls and flatten on cookie sheet.</li><li>Bake for 10 minutes.</li><li>Cool and then place into freezer.</li><li>Melt 3 tbsp chocolate chips with 1 tsp coconut oil.</li><li>Dip cookies into melted chocolate and place back into freezer for 10 minutes.</li><li>Cut cookies in half, and lightly press into cake, around the edge, so each slice gets one.</li></ol>",434.99,32.21,9.46,42.49,29.59,26.37,0.0,26.99,0.03,0.03,4.83,84.81,121.28,0.39,,1.45,,3.05,0.18,709.18,1.39,64.97,128.12,1.63,0.32,0.47,77.41,12.9,1.53,2.26,2.38,17.71,,8.46
chocolate mousse,"whipping cream, quality semi-sweet chocolate chips, strong coffee, rum, butter, flavorless, flavorless","Chill 1 1/2 cups whipping cream in refrigerator. Chill metal mixing bowl and mixer beaters in freezer.
In top of a double boiler, combine chocolate chips, coffee, rum and butter. Melt over barely simmering water, stirring constantly. Remove from heat while a couple of chunks are still visible. Cool, stirring occasionally to just above body temperature.
Pour remaining 1/4 cup whipping cream into a metal measuring cup and sprinkle in the gelatin. Allow gelatin to ""bloom"" for 10 minutes. Then carefully heat by swirling the measuring cup over a low gas flame or candle. Do not boil or gelatin will be damaged. Stir mixture into the cooled chocolate and set aside.
In the chilled mixing bowl, beat cream to medium peaks. Stir 1/4 of the whipped cream into the chocolate mixture to lighten it. Fold in the remaining whipped cream in two doses. There may be streaks of whipped cream in the chocolate and that is fine. Do not over work the mousse.
Spoon into bowls, chocolate cups (see note in About section) or martini glasses and chill for at least 1 hour. Garnish with fruit and serve.
(If mousse is to be refrigerated overnight, chill for one hour and then cover each with plastic wrap)",637.14,54.35,33.25,31.7,27.16,22.85,101.91,84.73,0.83,0.7,5.54,83.49,190.44,0.17,0.23,0.76,1.11,6.94,0.03,396.67,0.39,105.26,1282.01,1.68,0.04,0.72,,4.54,3.66,1.19,0.55,6.97,54.43,
churros,"flour, butter, water, salt, sugar, egg, oil, cinnamon sugar","<ol><li>Place water, butter, sugar, and a pinch of salt into a medium size sauce pan. Bring to a boil.</li><li>Add the flour and mix vigorously until well blended (the dough will come together in a minute or two).</li><li>Remove from the stove and let it cool a bit. Once it is not too hot, add the egg and work the egg into the dough. Try to do it as fast as possible. At the beginning it might look like the churro dough doesn’t wanna bind but take your time it will.</li><li>Pour the oil into a large frying pan and heat it up. Just make sure there is enough oil in your frying pan based on its size. Churros don’t have to be covered with oil completely.</li><li>Fill a piping bag (or a ziplock bag) fitted with star piping tip with half of the dough (it is easier to handle).</li><li>Check if the oil is ready for frying by dropping a tiny piece of the dough in. Once the dough turns nice brown, you are ready to pipe the churros in.</li><li>Pipe the dough directly into the hot oil (choose any length you like) and cut with a fork (I found a fork to be the best tool for this). Do not pipe too many churros in as they need space for frying. It will take only about 2 minutes for them to get nice golden color and that is a sign they are ready. They should get the color gradually. If you see they are not getting dark evenly, reduce the temperature.</li><li>Take them out and place them on a paper kitchen towel to get rid of the excess oil.</li><li>When they are still warm, roll each of them in cinnamon sugar.</li><li>Serve warm (ideally with thick hot chocolate!)</li></ol>",87.68,3.07,0.8,14.95,14.85,12.33,9.35,5.03,0.0,0.0,0.6,,,0.03,,0.02,,1.83,0.03,,,,,,,,7.25,,0.2,0.38,0.21,1.43,,
clam chowder,"pepper, carrots, celery, chili paste, clams, coconut milk, coconut oil, thyme, corn, garlic, kosher salt, pancetta, parsnips, onion, vegan buttery spread","<ol><li>In a large stock pot, bring about 5 cups of water to a boil and cook the parsnips until slightly softened, 5 to 7 minutes.</li><li>When ready, remove the parsnips with a slotted spoon, but do not drain off the water. Transfer to a bowl. Set aside.</li><li>Turn heat down to simmer and cover with lid.</li><li>In the meantime, begin to prepare the other ingredients.</li><li>While the parsnips are boiling. Heat a heavy-bottomed saut pan, set over over medium heat.</li><li>Add coconut oil.</li><li>When hot (throw in a piece to see if it sizzles) add the bacon to the oil and thyme and cook, stirring often, about 5 minutes, making sure not to burn the bacon.</li><li>Add the red onion, celery and garlic, and cook, stirring often, until the vegetables are translucent, 4 to 5 minutes.</li><li>Add the carrots and chili paste, stir often, and cook until the carrots soften slightly, 3 to 4 minutes and all the chili paste is blended.</li><li>Note: This allows the flavor of the chili paste to coat all the ingredients before being diluted by the liquid.</li><li>Add the parsnips and transfer most of the parsnip water (or all if you can fit it into your skillet, mine couldnt, I left about a cup in the pot) and stir to combine well.</li><li>The liquid will turn a light red hue.</li><li>Transfer to the simmering pot (with any remaining parsnip water, if some).</li><li>Add the shucked clams and its juice and raise the heat to medium.</li><li>Add the coconut milk, non dairy butter spread, and corn to the pot.</li><li>Bring chowder to a boil.</li><li>When it comes to a boil, reduce heat to simmer for 5-10 minutes.</li><li>Ladle individual servings into large soup bowls.</li><li>Garnish with parsley (optional).</li></ol>",497.35,33.41,19.92,42.36,33.82,8.94,31.75,740.15,0.0,0.0,13.39,106.53,300.22,0.19,2.75,1.3,0.15,17.01,0.32,1011.36,1.24,90.89,14438.85,2.04,0.47,0.35,106.21,8.54,4.48,2.26,4.42,43.44,,25.73
